"Codgeo";"ZInter_fact_40000"
"02497";"Reg_32_80"
"02498";"Reg_I1_13"
"02499";"Reg_32_80"
"02500";"Reg_32_71"
"02501";"Reg_I1_13"
"02502";"Reg_I1_17"
"02503";"Reg_I1_17"
"02504";"Reg_32_71"
"02505";"Reg_I1_49"
"02506";"Reg_32_80"
"02507";"Reg_I1_49"
"02508";"Reg_I1_59"
"02509";"Reg_I1_5"
"02510";"Reg_I1_16"
"02511";"Reg_I1_17"
"02512";"Reg_I1_5"
"02513";"Reg_I1_17"
"02514";"Reg_32_80"
"02515";"Reg_I1_49"
"02516";"Reg_I1_17"
"02517";"Reg_32_72"
"02518";"Reg_I1_49"
"02519";"Reg_I1_17"
"02520";"Reg_I1_13"
"02521";"Reg_I1_5"
"02522";"Reg_I1_17"
"02523";"Reg_I1_13"
"02524";"Reg_I1_49"
"02525";"Reg_32_71"
"02526";"Reg_I1_17"
"02527";"Reg_32_18"
"02528";"Reg_I1_22"
"02529";"Reg_I1_13"
"02530";"Reg_I1_13"
"02531";"Reg_I1_13"
"02532";"Reg_32_72"
"02533";"Reg_32_80"
"02534";"Reg_I1_13"
"02535";"Reg_I1_17"
"02536";"Reg_32_80"
"02537";"Reg_32_80"
"02538";"Reg_I1_49"
"02539";"Reg_32_71"
"02540";"Reg_I1_49"
"02541";"Reg_I1_37"
"02542";"Reg_32_18"
"02543";"Reg_I1_5"
"02544";"Reg_32_76"
"02545";"Reg_I1_17"
"02546";"Reg_32_18"
"02547";"Reg_I1_17"
"02548";"Reg_I1_17"
"02549";"Reg_32_71"
"02550";"Reg_I1_13"
"02551";"Reg_32_80"
"02552";"Reg_I1_17"
"02553";"Reg_I1_17"
"02554";"Reg_I1_49"
"02555";"Reg_I1_5"
"02556";"Reg_I1_17"
"02557";"Reg_32_80"
"02558";"Reg_32_26"
"02559";"Reg_32_72"
"02560";"Reg_32_72"
"02561";"Reg_I1_59"
