"Codgeo";"ZInter_fact70_40000"
"02443";"Reg_I1_4"
"02444";"Reg_I1_15"
"02445";"Reg_32_26"
"02446";"Reg_32_22"
"02447";"Reg_32_18"
"02448";"Reg_I1_15"
"02449";"Reg_I1_4"
"02450";"Reg_I1_15"
"02451";"Reg_32_22"
"02452";"Reg_32_22"
"02453";"Reg_I1_46"
"02454";"Reg_I1_15"
"02455";"Reg_I1_15"
"02456";"Reg_32_18"
"02457";"Reg_I1_54"
"02458";"Reg_I1_46"
"02459";"Reg_I1_15"
"02460";"Reg_I1_54"
"02461";"Reg_32_18"
"02462";"Reg_I1_46"
"02463";"Reg_I1_15"
"02464";"Reg_32_18"
"02465";"Reg_I1_4"
"02466";"Reg_32_18"
"02467";"Reg_32_18"
"02468";"Reg_I1_15"
"02469";"Reg_I1_15"
"02470";"Reg_I1_15"
"02471";"Reg_I1_54"
"02472";"Reg_I1_54"
"02473";"Reg_32_22"
"02474";"Reg_32_18"
"02475";"Reg_I1_32"
"02476";"Reg_I1_15"
"02477";"Reg_32_18"
"02478";"Reg_I1_54"
"02480";"Reg_32_22"
"02481";"Reg_32_22"
"02482";"Reg_I1_20"
"02483";"Reg_32_22"
"02484";"Reg_I1_46"
"02485";"Reg_32_18"
"02486";"Reg_I1_54"
"02487";"Reg_32_18"
"02488";"Reg_32_22"
"02489";"Reg_32_18"
"02490";"Reg_I1_54"
"02491";"Reg_I1_15"
"02492";"Reg_32_22"
"02493";"Reg_I1_54"
"02494";"Reg_I1_15"
"02495";"Reg_32_26"
"02496";"Reg_I1_4"
"02497";"Reg_32_18"
"02498";"Reg_I1_54"
"02499";"Reg_32_18"
"02500";"Reg_32_22"
"02501";"Reg_I1_54"
"02502";"Reg_I1_15"
"02503";"Reg_I1_15"
"02504";"Reg_32_22"
"02505";"Reg_I1_46"
"02506";"Reg_32_18"
"02507";"Reg_I1_46"
"02508";"Reg_I1_54"
"02509";"Reg_I1_4"
"02510";"Reg_I1_14"
"02511";"Reg_I1_15"
"02512";"Reg_I1_4"
"02513";"Reg_I1_15"
"02514";"Reg_32_18"
"02515";"Reg_I1_46"
"02516";"Reg_I1_15"
"02517";"Reg_32_22"
"02518";"Reg_I1_46"
"02519";"Reg_I1_15"
"02520";"Reg_I1_46"
"02521";"Reg_I1_4"
"02522";"Reg_I1_15"
"02523";"Reg_I1_20"
"02524";"Reg_I1_46"
"02525";"Reg_32_22"
